annee;VOLUME_PIM;VITESSE_PIM;VOLUME_BP;VITESSE_BP;KPIM_ANNUEL;VPIM_ANNUEL;KBP_ANNUEL;VPBP_ANNUEL
2019-09-01;694.0;12.3;5235;33.79922530664945;683.0;12.3;5146.0;34.5
2019-10-01;686.7;12.6;5169;32.78059606848446;683.0;12.3;5146.0;34.5
2020-09-01;670.9;12.5;5358;35.4;571.0;13.4;4828.0;40.4
2022-06-01;626.3;11.8;4854;31.1;585.21;12.43;4918.666666666667;36.36166666666667
2023-12-01;518.6;10.4;4768;34.6;546.0;11.3;4814.0;34.1
2021-04-01;567.5;14.3;5267;47.9;600.0;12.6;5063.0;37.3
2022-10-01;573.5;12.6;4863;37.3;585.21;12.43;4918.666666666667;36.36166666666667
2021-10-01;634.0;11.6;4920;31.6;600.0;12.6;5063.0;37.3
2022-03-01;621.8;12.4;5031;35.2;585.21;12.43;4918.666666666667;36.36166666666667
2023-05-01;559.1;10.9;4817;32.7;546.0;11.3;4814.0;34.1
2023-06-01;574.8;10.5;4710;28.9;546.0;11.3;4814.0;34.1
2023-08-01;443.1;13.6;4581;47.1;546.0;11.3;4814.0;34.1
2023-11-01;547.4;10.6;4791;32.5;546.0;11.3;4814.0;34.1
2019-03-01;693.6;12.8;5248;34.83571191503485;683.0;12.3;5146.0;34.5
2021-08-01;484.6;14.9;4908;50.8;600.0;12.6;5063.0;37.3
2023-07-01;543.5;11.5;4745;34.0;546.0;11.3;4814.0;34.1
2023-02-01;566.9;12.0;4949;34.3;546.0;11.3;4814.0;34.1
2019-01-01;706.0;13.7;5345;39.739776951672866;683.0;12.3;5146.0;34.5
2019-02-01;724.0;12.9;5222;33.75888817065288;683.0;12.3;5146.0;34.5
2019-07-01;679.4;13.2;5232;36.7064188004209;683.0;12.3;5146.0;34.5
2020-12-01;586.9;12.3;5119;37.6;571.0;13.4;4828.0;40.4
2021-01-01;600.8;12.8;5142;38.7;600.0;12.6;5063.0;37.3
2022-02-01;605.9;12.3;5002;34.4;585.21;12.43;4918.666666666667;36.36166666666667
2022-07-01;594.6;12.5;4795;35.8;585.21;12.43;4918.666666666667;36.36166666666667
2020-02-01;672.3;13.5;5302;37.7;571.0;13.4;4828.0;40.4
2020-11-01;519.9;14.4;5108;51.9;571.0;13.4;4828.0;40.4
2021-12-01;584.6;11.8;4860;35.3;600.0;12.6;5063.0;37.3
2023-03-01;562.9;11.5;4918;34.0;546.0;11.3;4814.0;34.1
2023-09-01;560.0;11.1;4809;33.9;546.0;11.3;4814.0;34.1
2019-12-01;718.3;10.4;4758;27.767726874817626;683.0;12.3;5146.0;34.5
2023-10-01;559.0;10.7;4789;31.9;546.0;11.3;4814.0;34.1
2019-05-01;661.0;11.9;5266;35.34228187919463;683.0;12.3;5146.0;34.5
2020-03-01;436.0;14.2;3675;44.3;571.0;13.4;4828.0;40.4
2021-03-01;602.4;13.0;5161;40.8;600.0;12.6;5063.0;37.3
2022-01-01;573.5;13.5;5066;45.24;585.21;12.43;4918.666666666667;36.36166666666667
2019-04-01;672.0;11.7;5168;32.81587301587302;683.0;12.3;5146.0;34.5
2019-06-01;697.0;11.6;5039;29.757897844700327;683.0;12.3;5146.0;34.5
2020-05-01;524.0;15.0;4864;53.1;571.0;13.4;4828.0;40.4
2021-02-01;581.0;12.8;5065;39.8;600.0;12.6;5063.0;37.3
2021-09-01;639.0;12.1;4969;32.7;600.0;12.6;5063.0;37.3
2022-04-01;608.8;12.3;4970;33.9;585.21;12.43;4918.666666666667;36.36166666666667
2023-04-01;550.5;11.3;4916;33.8;546.0;11.3;4814.0;34.1
2019-08-01;537.6;14.7;5039;51.94845360824742;683.0;12.3;5146.0;34.5
2020-07-01;647.3;13.8;5332;37.5;571.0;13.4;4828.0;40.4
2023-01-01;562.6;12.3;4976;36.3;546.0;11.3;4814.0;34.1
2019-11-01;691.3;11.9;4998;32.26597805035507;683.0;12.3;5146.0;34.5
2022-05-01;604.1;12.3;4954;33.5;585.21;12.43;4918.666666666667;36.36166666666667
2020-01-01;719.4;12.0;5035;30.9;571.0;13.4;4828.0;40.4
2020-08-01;523.3;15.0;5014;47.4;571.0;13.4;4828.0;40.4
2020-10-01;641.6;12.2;5213;34.6;571.0;13.4;4828.0;40.4
2022-08-01;481.3;14.7;4709;49.1;585.21;12.43;4918.666666666667;36.36166666666667
2021-11-01;623.7;11.9;4943;33.0;600.0;12.6;5063.0;37.3
2022-09-01;608.9;12.1;5039;34.5;585.21;12.43;4918.666666666667;36.36166666666667
2022-11-01;589.5;11.7;4914;32.5;585.21;12.43;4918.666666666667;36.36166666666667
2020-04-01;232.8;17.9;2507;67.1;571.0;13.4;4828.0;40.4
2020-06-01;658.8;13.3;5405;39.8;571.0;13.4;4828.0;40.4
2021-05-01;621.0;12.4;5179;35.4;600.0;12.6;5063.0;37.3
2021-06-01;649.9;11.9;5159;32.9;600.0;12.6;5063.0;37.3
2021-07-01;614.0;12.8;5182;37.6;600.0;12.6;5063.0;37.3
2022-12-01;553.7;11.8;4827;33.8;585.21;12.43;4918.666666666667;36.36166666666667
